customerNumber,customerName,contactLastName,contactFirstName,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit,Department,Amount
240,giftsbymail.co.uk,Bennett,Helen ,(198) 555-8888,Garden House,Crowther Way 23,Cowes,Isle of Wight,PO31 7PJ,UK,1501,93900,Jewelery,334.89
242,Alpha Cognac,Roulet,Annette ,61.77.6555,1 rue Alsace-Lorraine,Null,Toulouse,Null,31000,France,1370,61100,Automotive,13.99
247,Messner Shopping Network,Messner,Renate ,069-0555984,Magazinweg 7,Null,Frankfurt,Null,60528,Germany,Null,0,Shoes,28.42
249,Amica Models & Co.,Accorti,Paolo ,011-4988555,Via Monte Bianco 34,Null,Torino,Null,10100,Italy,1401,113000,Computers,375.71
250,Lyon Souveniers,Da Silva,Daniel,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Null,Paris,Null,75508,France,1337,68100,Computers,61.11
256,Auto Associ?s & Cie.,Tonini,Daniel ,30.59.8555,67  avenue de l'Europe,Null,Versailles,Null,78000,France,1370,77900,Health,254.54
259,Toms Spezialit?ten  Ltd,Pfalzheim,Henriette ,0221-5554327,Mehrheimerstr. 369,Null,K?ln,Null,50739,Germany,1504,120400,Health,287.54
260,Royal Canadian Collectables  Ltd.,Lincoln,Elizabeth ,(604) 555-4555,23 Tsawassen Blvd.,Null,Tsawassen,BC,T2F 8M4,Canada,1323,89600,Movies,91.42
273,Franken Gifts  Co,Franken,Peter ,089-0877555,Berliner Platz 43,Null,M?nchen,Null,80805,Germany,Null,0,Music,164.31
276,Anna's Decorations  Ltd,O'Hara,Anna,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,1611,107800,Electronics,127.71
278,Rovelli Gifts,Rovelli,Giovanni ,035-640555,Via Ludovico il Moro 22,Null,Bergamo,Null,24100,Italy,1401,119600,Kids,158.69
282,Souveniers And Things Co.,Huxley,Adrian,+61 2 9495 8555,Monitor Money Building,815 Pacific Hwy,Chatswood,NSW,2067,Australia,1611,93300,Beauty,295.13
286,Marta's Replicas Co.,Hernandez,Marta,6175558555,39323 Spinnaker Dr.,Null,Cambridge,MA,51247,USA,1216,123700,Clothing,311.43
293,BG&E Collectables,Harrison,Ed,+41 26 425 50 01,Rte des Arsenaux 41 ,Null,Fribourg,Null,1700,Switzerland,Null,0,Grocery,290.22
298,Vida Sport  Ltd,Holz,Mihael,0897-034555,Grenzacherweg 237,Null,Gen?ve,Null,1203,Switzerland,1702,141300,Automotive,100.59
299,Norway Gifts By Mail  Co.,Klaeboe,Jan,+47 2212 1555,Drammensveien 126A,PB 211 Sentrum,Oslo,Null,N 0106,Norway  ,1504,95100,Grocery,66.54
303,Schuyler Imports,Schuyler,Bradley,+31 20 491 9555,Kingsfordweg 151,Null,Amsterdam,Null,1043 GR,Netherlands,Null,0,Home,212.79
307,Der Hund Imports,Andersen,Mel,030-0074555,Obere Str. 57,Null,Berlin,Null,12209,Germany,Null,0,Grocery,180.12
311,Oulu Toy Supplies  Inc.,Koskitalo,Pirkko,981-443655,Torikatu 38,Null,Oulu,Null,90110,Finland,1501,90500,Baby,230.55
314,Petit Auto,Dewey,Catherine ,(02) 5554 67,Rue Joseph-Bens 532,Null,Bruxelles,Null,B-1180,Belgium,1401,79900,Health,268.46
319,Mini Classics,Frick,Steve,9145554562,3758 North Pendale Street,Null,White Plains,NY,24067,USA,1323,102700,Grocery,210
320,Mini Creations Ltd.,Huang,Wing,5085559555,4575 Hillside Dr.,Null,New Bedford,MA,50553,USA,1188,94500,Games,1.17
321,Corporate Gift Ideas Co.,Brown,Julie,6505551386,7734 Strong St.,Null,San Francisco,CA,94217,USA,1165,105000,Toys,313.24
323,Down Under Souveniers  Inc,Graham,Mike,+64 9 312 5555,162-164 Grafton Road,Level 2,Auckland  ,Null,Null,New Zealand,1612,88000,Shoes,343.8
324,Stylish Desk Decors  Co.,Brown,Ann ,(171) 555-0297,35 King George,Null,London,Null,WX3 6FW,UK,1501,77000,Clothing,272.05
328,Tekni Collectables Inc.,Brown,William,2015559350,7476 Moss Rd.,Null,Newark,NJ,94019,USA,1323,43000,Books,210.46
333,Australian Gift Network  Co,Calaghan,Ben,61-7-3844-6555,31 Duncan St. West End,Null,South Brisbane,Queensland,4101,Australia,1611,51600,Home,385.01
334,Suominen Souveniers,Suominen,Kalle,+358 9 8045 555,Software Engineering Center,SEC Oy,Espoo,Null,FIN-02271,Finland,1501,98800,Computers,394.39
335,Cramer Spezialit?ten  Ltd,Cramer,Philip ,0555-09555,Maubelstr. 90,Null,Brandenburg,Null,14776,Germany,Null,0,Computers,247.33
339,Classic Gift Ideas  Inc,Cervantes,Francisca,2155554695,782 First Street,Null,Philadelphia,PA,71270,USA,1188,81100,Jewelery,314.52
344,CAF Imports,Fernandez,Jesus,+34 913 728 555,Merchants House,27-30 Merchant's Quay,Madrid,Null,28023,Spain,1702,59600,Outdoors,99.1
347,Men 'R' US Retailers  Ltd.,Chandler,Brian,2155554369,6047 Douglas Av.,Null,Los Angeles,CA,91003,USA,1166,57700,Toys,4.85
348,Asian Treasures  Inc.,McKenna,Patricia ,2967 555,8 Johnstown Road,Null,Cork,Co. Cork,Null,Ireland,Null,0,Outdoors,397.77
350,Marseille Mini Autos,Lebihan,Laurence ,91.24.4555,12  rue des Bouchers,Null,Marseille,Null,13008,France,1337,65000,Grocery,59.23
353,Reims Collectables,Henriot,Paul ,26.47.1555,59 rue de l'Abbaye,Null,Reims,Null,51100,France,1337,81100,Shoes,309.07
356,SAR Distributors  Co,Kuger,Armand,+27 21 550 3555,1250 Pretorius Street,Null,Hatfield,Pretoria,28,South Africa,Null,0,Home,128
357,GiftsForHim.com,MacKinlay,Wales,64-9-3763555,199 Great North Road,Null,Auckland,Null,Null,New Zealand,1612,77700,Industrial,124.56
361,Kommission Auto,Josephs,Karin,0251-555259,Luisenstr. 48,Null,M?nster,Null,44087,Germany,Null,0,Toys,195.79
362,Gifts4AllAges.com,Yoshido,Juri,6175559555,8616 Spinnaker Dr.,Null,Boston,MA,51003,USA,1216,41900,Clothing,50.32
363,Online Diecast Creations Co.,Young,Dorothy,6035558647,2304 Long Airport Avenue,Null,Nashua,NH,62005,USA,1216,114200,Baby,286.75
369,Lisboa Souveniers  Inc,Rodriguez,Lino ,(1) 354-2555,Jardim das rosas n. 32,Null,Lisboa,Null,1675,Portugal,Null,0,Movies,130.37
376,Precious Collectables,Urs,Braun,0452-076555,Hauptstr. 29,Null,Bern,Null,3012,Switzerland,1702,0,Beauty,1.99
379,Collectables For Less Inc.,Nelson,Allen,6175558555,7825 Douglas Av.,Null,Brickhaven,MA,58339,USA,1188,70700,Industrial,110.79
381,Royale Belge,Cartrain,Pascale ,(071) 23 67 2555,Boulevard Tirou  255,Null,Charleroi,Null,B-6000,Belgium,1401,23500,Sports,185.06
382,Salzburg Collectables,Pipps,Georg ,6562-9555,Geislweg 14,Null,Salzburg,Null,5020,Austria,1401,71700,Movies,198.89
385,Cruz & Sons Co.,Cruz,Arnold,+63 2 555 3587,15 McCallum Street,NatWest Center #13-03,Makati City,Null,1227 MM,Philippines,1621,81500,Tools,48.8
386,L'ordine Souveniers,Moroni,Maurizio ,0522-556555,Strada Provinciale 124,Null,Reggio Emilia,Null,42100,Italy,1401,121400,Music,38
398,Tokyo Collectables  Ltd,Shimamura,Akiko,+81 3 3584 0555,2-2-8 Roppongi,Null,Minato-ku,Tokyo,106-0032,Japan,1621,94400,Movies,13.5
406,Auto Canal+ Petit,Perrier,Dominique,(1) 47.55.6555,25  rue Lauriston,Null,Paris,Null,75016,France,1337,95000,Grocery,179.04
409,Stuttgart Collectable Exchange,M?ller,Rita ,0711-555361,Adenauerallee 900,Null,Stuttgart,Null,70563,Germany,Null,0,Computers,114.59
412,Extreme Desk Decorations  Ltd,McRoy,Sarah,04 499 9555,101 Lambton Quay,Level 11,Wellington,Null,Null,New Zealand,1612,86800,Music,310.96
415,Bavarian Collectables Imports  Co.,Donnermeyer,Michael, +49 89 61 08 9555,Hansastr. 15,Null,Munich,Null,80686,Germany,1504,77000,Movies,43.14
424,Classic Legends Inc.,Hernandez,Maria,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,1286,67500,Games,91.35
443,Feuer Online Stores  Inc,Feuer,Alexander ,0342-555176,Heerstr. 22,Null,Leipzig,Null,4179,Germany,Null,0,Outdoors,221.9
447,Gift Ideas Corp.,Lewis,Dan,2035554407,2440 Pompton St.,Null,Glendale,CT,97561,USA,1323,49700,Tools,353.05
448,Scandinavian Gift Ideas,Larsson,Martha,0695-34 6555,?kergatan 24,Null,Br?cke,Null,S-844 67,Sweden,1504,116400,Grocery,395.84
450,The Sharp Gifts Warehouse,Frick,Sue,4085553659,3086 Ingle Ln.,Null,San Jose,CA,94217,USA,1165,77600,Kids,119.92
452,Mini Auto Werke,Mendel,Roland ,7675-3555,Kirchgasse 6,Null,Graz,Null,8010,Austria,1401,45300,Kids,289.67
455,Super Scale Inc.,Murphy,Leslie,2035559545,567 North Pendale Street,Null,New Haven,CT,97823,USA,1286,95400,Automotive,348.69
456,Microscale Inc.,Choi,Yu,2125551957,5290 North Pendale Street,Suite 200,NYC,NY,10022,USA,1286,39800,Books,91.78
458,Corrida Auto Replicas  Ltd,Sommer,Mart?n ,(91) 555 22 82,C/ Araquil 67,Null,Madrid,Null,28023,Spain,1702,104600,Toys,235.64
459,Warburg Exchange,Ottlieb,Sven ,0241-039123,Walserweg 21,Null,Aachen,Null,52066,Germany,Null,0,Home,146.12
462,FunGiftIdeas.com,Benitez,Violeta,5085552555,1785 First Street,Null,New Bedford,MA,50553,USA,1216,85800,Movies,53.06
465,Anton Designs  Ltd.,Anton,Carmen,+34 913 728555,c/ Gobelas 19-1 Urb. La Florida,Null,Madrid,Null,28023,Spain,Null,0,Automotive,155.83
471,Australian Collectables  Ltd,Clenahan,Sean,61-9-3844-6555,7 Allen Street,Null,Glen Waverly,Victoria,3150,Australia,1611,60300,Garden,103.72
473,Frau da Collezione,Ricotti,Franco,+39 022515555,20093 Cologno Monzese,Alessandro Volta 16,Milan,Null,Null,Italy,1401,34800,Automotive,288.15
475,West Coast Collectables Co.,Thompson,Steve,3105553722,3675 Furth Circle,Null,Burbank,CA,94019,USA,1166,55400,Computers,103.48
477,Mit Vergn?gen & Co.,Moos,Hanna ,0621-08555,Forsterstr. 57,Null,Mannheim,Null,68306,Germany,Null,0,Industrial,289.28
480,Kremlin Collectables  Co.,Semenov,Alexander ,+7 812 293 0521,2 Pobedy Square,Null,Saint Petersburg,Null,196143,Russia,Null,0,Games,371.07
481,Raanan Stores  Inc,Altagar G M,Raanan,+ 972 9 959 8555,3 Hagalim Blv.,Null,Herzlia,Null,47625,Israel,Null,0,Toys,106.01
484,Iberia Gift Imports  Corp.,Roel,Jos? Pedro ,(95) 555 82 82,C/ Romero 33,Null,Sevilla,Null,41101,Spain,1702,65700,Automotive,141.02
486,Motor Mint Distributors Inc.,Salazar,Rosa,2155559857,11328 Douglas Av.,Null,Philadelphia,PA,71270,USA,1323,72600,Games,336.82
487,Signal Collectibles Ltd.,Taylor,Sue,4155554312,2793 Furth Circle,Null,Brisbane,CA,94217,USA,1165,60300,Music,99.62
489,Double Decker Gift Stores  Ltd,Smith,Thomas ,(171) 555-7555,120 Hanover Sq.,Null,London,Null,WA1 1DP,UK,1501,43300,Health,248.66
495,Diecast Collectables,Franco,Valarie,6175552555,6251 Ingle Ln.,Null,Boston,MA,51003,USA,1188,85100,Tools,154.99
496,Kelly's Gift Shop,Snowden,Tony,+64 9 5555500,Arenales 1938 3'A',Null,Auckland  ,Null,Null,New Zealand,1612,110000,Beauty,71.87
