first_Name; last_Name; companyName; address;city;province; postal; phone; email;
Cherelle; Welschmeyer; Woodrow Taylor Homes Nv Ltd; 2 Ramona Ave #6; Guelph; ON; N1E 5N9; 519-322-9933; cherelle@hotmail.com;
Chi; Morgan; Holmes, Armstead J Esq; 2953 5th Ave #27; Saint-Raymond; QC; G3L 3K2; 418-922-5578; chi@gmail.com;
Christa; Cloutier; Abc Financial Systems; 743 Wolfert Ave; Calgary; AB; T2L 2G4; 403-461-2407; ccloutier@hotmail.com;
Chu; Collopy; Chiropractic Care Center; 8 E 9mile Rd #697; Trois-Rivieres; QC; G8V 2J6; 819-677-1206; chu@aol.com;
Chuck; Berggren; Weyerhaeuser Paper Co; 764 Louisville Plac; St. Johns; NL; A1E 2L8; 709-534-6576; chuck@gmail.com;
Chun; Richrdson; Hoyt, Robert F Esq; 3 Aiea Heights #660; Regina; SK; S4T 3L1; 306-245-2534; chun_richrdson@richrdson.org;
Claudio; Hummell; Blatt, Harold G Esq; 432 Eastman Ave; Calgary; AB; T3L 2H1; 403-481-8843; claudio_hummell@hotmail.com;
Clemencia; Momplaisir; Computer System Dynamics; 698 N Allen Rd; Montreal; QC; H3J 2N8; 514-804-3533; cmomplaisir@yahoo.com;
Cletus; Stapels; Fewel Northwest Inc; 9713 Wilbur Ave #163; Edmonton; AB; T6P 1K3; 780-674-7330; cletus_stapels@cox.net;
Colby; Scotts; Mass Human Services Coalition; 7 E 1st St; Barrie; ON; L4N 3M9; 705-668-5094; cscotts@aol.com;
Colton; Pesqueira; Willow Foods Inc; 305 Industrial Blvd; Oakville; ON; L6H 6M8; 905-796-8265; cpesqueira@hotmail.com;
Coral; Helmcamp; Hepco Inc; 4184 E 142nd St; Toronto; ON; M5V 0B4; 416-589-6075; coral.helmcamp@helmcamp.org;
Coral; Brennick; Barbour, Michael J Esq; 15 Ludlow Ave #156; Boucherville; QC; J4B 1R5; 450-480-7421; coral.brennick@brennick.com;
Corazon; Ivaska; Ansonia Records Inc; 6 W Lincoln Ave; Saskatoon; SK; S7K 3K7; 306-333-8933; corazon@ivaska.org;
Cordelia; Nicks; Pacific Valley Appraisal Svc; 572 Simpson St; Georgetown; ON; L7G 2T4; 905-975-4308; cnicks@nicks.org;
Cordell; Zinda; Kaye, Jeffrey A Esq; 91 Argyle Rd; Sherbrooke; QC; J1H 6E3; 819-508-6057; cordell_zinda@cox.net;
Corrie; Kardell; Lynch, Steven J Esq; 75 Westchester Ave; Pierrefonds; QC; H9J 1W6; 514-203-7817; corrie_kardell@aol.com;
Cortney; Choice; Schulman, Richard J Esq; 80 S 33rd Pl; Greenfield Park; QC; J4V 3G8; 450-339-6016; cortney.choice@choice.com;
Crissy; Pacholec; Cgi Systems Inc; 85 S State St; Barrie; ON; L4N 6T7; 705-477-2307; crissy@aol.com;
Curt; Kohlman; Bowden, Mona M Esq; 5 Westbranch Dr #36; Saskatoon; SK; S7M 3S3; 306-739-3437; ckohlman@hotmail.com;
Dahlia; Benett; Doco School Empl Fed Crdt Un; 3986 Home Life; Alma; QC; G8B 1K7; 418-344-9993; dahlia_benett@aol.com;
Daniel; Dobler; Cosgroves N End Plbg & Hdwr Co; 259 W 17th St #39; Beresford; NB; E8K 1B7; 506-617-2607; ddobler@dobler.com;
Danilo; Pride; Harry L Adams Incorporated; 6857 Wall St; Red Deer; AB; T4R 2H5; 403-212-4945; danilo_pride@hotmail.com;
Darci; Arau; Broadside Press; 2 Hill Rd; Trois-Rivieres; QC; G8Z 3J2; 819-294-4679; darci@cox.net;
Darell; Mcalarney; Janney Montgomery Scott Inc; 8 E 92nd St; Ajax; ON; L1S 6V3; 905-846-7737; darell_mcalarney@mcalarney.com;
Darrel; Makley; Alliedsignal Engines; 6 N Volusia Ave #2; Baie-Sainte-Anne; NB; E9A 1P1; 506-839-5378; dmakley@yahoo.com;
Darrin; Tumolillo; Metro Press; 4 Pedretti Ave #2; Saskatoon; SK; S7H 1X9; 306-748-5721; darrin@tumolillo.com;
Darrin; Mathiasen; Milton Daily Standard; 35 Peconic Ave #4; Boucherville; QC; J4B 3Y4; 450-536-7426; dmathiasen@hotmail.com;
Davida; Zeng; Conway, John J Esq; 8881 Hopkins St; Sainte-Sophie; QC; J5J 2B5; 450-375-8192; davida_zeng@yahoo.com;
Dawne; Mcloud; Bridger Scientific Inc; 25 Keystone Xing; Stoney Creek; ON; L8E 2E4; 905-760-9649; dmcloud@cox.net;
Dell; Polino; Saint John Neumann Nurse Home; 56 Corporate Dr; Becancour; QC; G9H 1H7; 819-255-1725; dell_polino@polino.com;
Delsie; Cerao; Bacompt; 2 Us Highway 206; English Settlement; NB; E6B 2J9; 506-795-5209; delsie.cerao@cerao.org;
Demetra; Peth; Irvine, Stephanie B Esq; 79 E Jackson St; Sherbrooke; QC; J1K 1C5; 819-858-7901; demetra_peth@aol.com;
Denae; Eggers; Brookwood Inn; 475 S Figueroa St; Winnipeg; MB; R2K 3B5; 204-341-2445; denae_eggers@gmail.com;
Denna; Miklitz; Cptal Meats & Provisions Co; 1736 Us Highway 19n N #6; Saint-Jean-sur-Richelieu; QC; J3B 0C5; 450-409-1005; dmiklitz@yahoo.com;
Denny; Zeanah; Associated Brokers Inc; 339 W 1st St; Montreal; QC; H2Z 1P5; 514-224-2722; denny_zeanah@zeanah.com;
Denny; Amazan; Pony Express National Memorial; 4974 Rockburn Hill Rd #3; Surrey; BC; V4A 8M9; 604-239-4105; denny@amazan.com;
Desirae; Oien; L & P Construction; 200 W Bijou St #6013; Calgary; AB; T2C 0Z5; 403-405-2804; desirae.oien@hotmail.com;
Devon; Delacerda; Kcon Inc; 250 University Ave #9; Comox; BC; V9M 1T4; 250-525-4631; devon@hotmail.com;
Dianne; Tomasic; Samios, Gus Esq; 53 6  17 M At Bradleys; Dartmouth; NS; B2Y 3L2; 902-938-6891; dianne@yahoo.com;
Dion; Lamastus; National Compugraphix Inc; 44 S Highland Dr; Albanel; QC; G8M 3P2; 418-212-6756; dion_lamastus@lamastus.com;
Dolores; Moltz; Auto Exchange; 80 S Beckley St; Fredericton; NB; E3B 2P9; 506-216-2028; dolores@yahoo.com;
Dominga; Mckeon; Scott & Murphy Inc; 68 Dd N #1; Trois-Rivieres; QC; G8T 7G3; 819-627-1581; dominga_mckeon@yahoo.com;
Dona; Larner; Birmingham Historical Society; 4298 E Drinker St; York; ON; M6M 1V5; 416-884-9104; dona@hotmail.com;
Dorcas; Diebold; Tradition Music Co; 8899 E Slauson Ave; Mississauga; ON; L5M 4A7; 905-860-8703; dorcas_diebold@diebold.com;
Doretha; Wykle; Lafave, E Joseph Iii; 5106 N Laurel Park Dr; Kenora; ON; P9N 4E7; 807-383-4855; doretha@yahoo.com;
Dorothea; Lowther; Herline, Georgia; 2763 Fort Campbell Blvd #7554; Sudbury; ON; P3E 2W9; 705-793-4986; dorothea_lowther@yahoo.com;
Dorothy; Aitken; Mcmillon, Wendy A Esq; 4 Hanover Pike; Mississauga; ON; L5V 1E5; 905-554-3838; dorothy.aitken@cox.net;
Dorsey; Neitzke; Turley, Joseph M; 9768 A Aven #112; Truro; NS; B2N 3P6; 902-936-9426; dorsey_neitzke@hotmail.com;
Doyle; Hathcox; Women For Meaningful Summits; 48 Market St; Prince George; BC; V2M 1K4; 250-227-4140; doyle.hathcox@aol.com;
Edelmira; Calzado; Chagrin Wine & Beverage Co; 4936 Walcott Rd; Regina; SK; S4R 3M1; 306-611-7185; edelmira@hotmail.com;
Edmond; Buettner; Eden Bail Bond Information Ctr; 67 N Washington Ave #960; Saint-Eustache; QC; J7P 1A5; 450-829-7834; edmond_buettner@buettner.org;
Effie; Frymark; Razzoog, Michael E Dds; 51 3rd Ave; London; ON; N5W 5G1; 519-433-4142; effie_frymark@gmail.com;
Elena; Hairr; Reed, Crystal Md; 31 Mechanic St #9839; Stephenville; NL; A2N 2N4; 709-399-4807; ehairr@hotmail.com;
Elfrieda; Hinsch; Y 105 Kgfy; 4929 Sidney St #8276; Vernon; BC; V1T 4A3; 250-454-9384; elfrieda_hinsch@hinsch.org;
Elfriede; Bakeley; Krei 800 Radio Station; 538 Fayetteville Street Mall; Grand-Sault/Grand Falls; NB; E3Z 2K5; 506-404-8558; ebakeley@bakeley.com;
Elina; Maury; Hobson Printing Co; 2097 N Stonestreet Ave; North York; ON; M6M 3B1; 416-582-4379; elina.maury@hotmail.com;
Elise; Michelle; Thurman, William T Esq; 88 E Saint Elmo Rd; Hamilton; ON; L8R 3J3; 905-652-4509; elise@gmail.com;
Ellen; Fajen; Kowall, Carol Esq; 32 Marguerite Pky; Edmonton; AB; T6A 0L9; 780-720-7927; ellen.fajen@aol.com;
Ellsworth; Rieg; Peyote Bird Designs; 7662 Us Highway 46 #9003; Napanee; ON; K7R 1K5; 613-862-4724; erieg@hotmail.com;
Elvis; Tenuta; Beloit Boxboard Co; 6437 Date Palm Dr; Calgary; AB; T2B 0X5; 403-415-1285; elvis_tenuta@tenuta.org;
Emile; Dorio; Olson, Waldine H Esq; 264 Jefferson Hwy #83; Saint-Bruno; QC; J3V 4R8; 450-529-3773; edorio@cox.net;
Emmett; Mcshaw; Yaffa, Michael Esq; 920 Union Blvd; Sault Ste. Marie; ON; P6B 5Y2; 705-581-1220; emmett_mcshaw@cox.net;
Enola; Yandow; Branan Photography; 7 Sw 5th Ave; Dartmouth; NS; B2W 6G3; 902-539-1621; eyandow@cox.net;
Eric; Gazzola; Moriah Fund Inc; 732 Congress St; Saint-Georges; QC; G5Z 0N4; 418-274-7373; eric@cox.net;
Erin; Delbosque; Curtiss Wright Corp; 357 W Mount Royal Ave; Longueuil; QC; J4M 2A8; 450-316-7813; erin@cox.net;
Essie; Fitzke; Artistic Gifts Inc; 9 3rd St; Welshpool; NB; E5E 1G8; 506-785-2719; essie_fitzke@fitzke.org;
Esteban; Plantenberg; Midwest Wheel Companies; 78 E River; Surrey; BC; V4P 0C4; 604-519-9547; esteban@cox.net;
Eura; Mcglocklin; Graphic Color Litho Inc; 9 N Monroe St; Lloydminster; SK; S9V 0C6; 306-979-2571; eura@mcglocklin.org;
Felix; Tutterrow; Corinth Dry Cleaners; 92 W 39th St #9990; London; ON; N6G 3E5; 519-426-7161; ftutterrow@tutterrow.org;
Felton; Yafuso; Penkava, Robert Md; 202 Madison Ave; Ottawa; ON; K1Y 1M2; 613-749-1169; felton.yafuso@gmail.com;
Fidelia; Vilven; Gto Lithographers Inc; 9 Meridian St; Scarborough; ON; M1G 1V4; 416-892-4321; fvilven@vilven.org;
Fletcher; Caneles; Hy Cite Corp; 87 Spencerville Ct #2; Hamilton; ON; L8S 3V2; 905-992-1637; fcaneles@caneles.com;
Florencia; Stadel; Cornwell, Michael C Esq; 178 Riverdale Rd; Ingersoll; ON; N5C 2W2; 519-961-7871; fstadel@gmail.com;
Florinda; Mackedanz; Hoyt, Robert F Esq; 2782 Midland Ave; Dieppe; NB; E1A 8X6; 506-230-8075; florinda_mackedanz@mackedanz.org;
Florinda; Haycock; Janik, Frank J Iii; 6096 N Michigan Ave; Gatineau; QC; J8P 4L6; 819-820-6568; florinda_haycock@cox.net;
Floyd; Bub; Southeastern Services Inc; 4701 N Cocoa Blvd; Toronto; ON; M4V 2Z2; 416-557-9767; fbub@bub.com;
Francesco; Sarchet; Gabriel & Associates; 22 Dearborn St; Regina; SK; S4T 4B1; 306-524-4509; francesco@hotmail.com;
Franchesca; Lamme; Euorpean Pretzel Bakery; 3208 W Touhy Ave; Charlottetown; PE; C1E 1W8; 902-715-9684; franchesca_lamme@yahoo.com;
Francoise; Rautenstrauch; Riebesell, H F Jr; 2335 Canton Hwy #6; Windsor; ON; N8N 3N2; 519-569-8399; francoise.rautenstrauch@rautenstrauch.com;
Frank; Tryninewski; Interlink Marketing Inc; 462 2nd St; Prince Albert; SK; S6V 6E5; 306-653-1772; ftryninewski@gmail.com;
Frank; Amend; Preferred Service Group Inc; 2583 Lincoln Blvd; Cambridge; ON; N1S 1A7; 519-823-9369; frank@yahoo.com;
Freeman; Rudig; Ramsey Secretarial Service; 4 W Sedgley Ave; Otterburn Park; QC; J3H 4V8; 450-347-6388; freeman@yahoo.com;
Gaynell; Benavente; Life Guard Apparel; 71 W Indian School Rd; Thunder Bay; ON; P7E 2H1; 807-284-2501; gaynell@hotmail.com;
Gearldine; Haberle; Robert Glen Distributing Co; 62 N 3rd St; Calgary; AB; T2J 0S5; 403-810-3712; gearldine_haberle@hotmail.com;
Genevieve; Milionis; J & M Janitorial Supplies; 5 Cedar St; Sault Ste. Marie; ON; P6B 5Y9; 705-467-4142; genevieve.milionis@hotmail.com;
Georgeanna; Marrano; Allied Fine Furniture; 3493 Camino Ruiz; Hamilton; ON; L8N 2V6; 905-366-7378; gmarrano@gmail.com;
Georgiana; Colbath; Stewart Filmscreen Corp; 505 E 9mile Rd; Sainte-Therese; QC; J7E 3C9; 450-409-1254; gcolbath@hotmail.com;
Georgiann; Hoerter; Orava, Stephen J Esq; 4945 Progress Dr; Grand-Mere; QC; G9T 3C3; 819-632-2869; georgiann_hoerter@hoerter.com;
Gianna; Branin; All Brevard Cert Apprsls Inc; 100 Main St; Calgary; AB; T2K 4X5; 403-337-7162; gianna@aol.com;
Gilma; Jefferys; Celestin Design Centre; 147 E Centre St; Halifax; NS; B3H 4E1; 902-804-8543; gjefferys@aol.com;
Giovanna; Bacho; Rumford Aquarium Inc; 71 S Newtown St; North Vancouver; BC; V7M 3J6; 604-203-8085; giovanna@cox.net;
Glendora; Pezley; John L Scott Real Estate; 2 80e E #7867; Edmonton; AB; T5Y 3J7; 780-508-2609; glendora.pezley@cox.net;
Glenn; Robinault; Leikin, James; 8700 S Jefferson Rd #676; Lachine; QC; H8S 3A8; 514-330-5479; glenn.robinault@cox.net;
Glennis; Roseum; York Services Landscpg Divsn; 1 Pershing Ave; Brandon; MB; R7A 4C6; 204-514-9319; glennis.roseum@gmail.com;
Gregg; Epperheimer; Best Western Sterling House; 59 W Jackson Blvd #11; Lasalle; QC; H8R 3T2; 514-302-4158; gepperheimer@aol.com;
Gretchen; Mckeon; Nendels Inn/renton; 809 W Bayshore Rd; Trail; BC; V1R 4Y2; 250-617-7197; gretchen.mckeon@gmail.com;
Gussie; Diflorio; Cliff Clarks Inc Sales & Serv; 881 South St #4; Trenton; ON; K8V 1G7; 613-857-7922; gussie_diflorio@cox.net;
Hana; Meisel; Whitehead, David Barry Esq; 6 E Rand Rd #73; Calgary; AB; T2J 1G9; 403-696-7108; hana.meisel@yahoo.com;
Hannah; Edmison; M B A Paint Stores; 73 Pittsford Victor Rd; Vancouver; BC; V5Z 3K2; 604-334-3686; hannah@yahoo.com;
Hannah; Suero; Confish Inc; 3314 Hawthorne St; Oakville; ON; L6L 3G9; 905-543-3967; hsuero@yahoo.com;
Harley; Works; Alliance Construction Co Inc; 27 Spring St; Woodstock; ON; N4S 2K1; 519-913-7772; harley@cox.net;
Harris; Sheck; New Lans Corporation; 9875 Sheafe Rd; Montreal; QC; H2H 1Z2; 514-257-9319; harris@cox.net;
Hassie; Sarkin; Eisen, Lisa; 958 Airline Dr; Valley; NS; B6L 2X2; 902-210-1513; hassie_sarkin@aol.com;
Herminia; Penso; Jurgemeyer Frey & Haufe; 880 W South Water Market; Fort McMurray; AB; T9H 3A8; 780-740-5294; hpenso@cox.net;
Herschel; Geneseo; Molded Dimensions Inc; 7753 W 8th; Toronto; ON; M4V 1Y3; 416-786-7887; herschel@geneseo.com;
Hershel; Bultron; Kings Trophies & Engraving Co; 658 W 30th St; London; ON; N5Z 1R6; 519-844-4835; hershel_bultron@bultron.org;
Hildegarde; Wehrwein; Ocean State Rental Corp; 2 Cottman Ave; West Vancouver; BC; V7T 1R7; 604-960-7463; hwehrwein@gmail.com;
Hollis; Stanfield; Feehan Plumbing & Heating; 5174 Interstate 45 N; Yellowhead County; AB; T7E 3A7; 780-574-5620; hollis.stanfield@aol.com;
Hollis; Keomuangtai; Amsterdam News; 27 7th St; Keswick; ON; L4P 1V3; 905-928-5294; hollis.keomuangtai@cox.net;
Hortencia; Bresser; Batavia Chamber Of Commerce; 808 Calle De Industrias; New Waterford; NS; B1H 1Z4; 902-256-6791; hbresser@aol.com;
